11:122953125:123160000	11:124280000:124512500
11:124280000:124512500	11:124517500:124742500
11:124517500:124742500	11:124747500:125037500
11:124747500:125037500	11:125042500:125318750
11:125042500:125318750	11:125762500:126168750
11:125762500:126168750	11:127935000:128827500
11:127935000:128827500	11:128880000:129242500
11:128880000:129242500	11:129692500:130055000
11:129692500:130055000	11:130060000:130292500
11:130060000:130292500	11:130297500:130792500
11:130297500:130792500	11:130797500:131562500
11:130797500:131562500	11:132922500:133772500
11:132922500:133772500	12:1200000:1727500
12:1200000:1727500	12:1732500:1907500
12:1732500:1907500	12:1912500:2160000
12:1912500:2160000	12:2780000:3200000
12:2780000:3200000	12:3382500:3947500
12:3382500:3947500	12:3952500:4422500
12:3952500:4422500	12:4909375:5117500
12:4909375:5117500	12:5207500:6172500
12:5207500:6172500	12:6970000:7277500
12:6970000:7277500	12:7313750:7857500
12:7313750:7857500	12:8441875:9095000
12:8441875:9095000	12:9100000:9212500
12:9100000:9212500	12:9227500:9440000
12:9227500:9440000	12:9568125:9880000
12:9568125:9880000	12:10367500:10737500
12:10367500:10737500	12:10747500:10912500
12:10747500:10912500	12:10917500:11427500
12:10917500:11427500	12:11672500:12215000
12:11672500:12215000	12:12220000:12500000
12:12220000:12500000	12:12505000:12937500
12:12505000:12937500	12:12942500:13390000
12:12942500:13390000	12:13407500:14337500
12:13407500:14337500	12:14862500:15167500
12:14862500:15167500	12:15182500:15425000
12:15182500:15425000	12:15430000:15672500
12:15430000:15672500	12:15702500:16085000
12:15702500:16085000	12:16547500:16797500
12:16547500:16797500	12:16835000:17057500
12:16835000:17057500	12:18257500:19534375
12:18257500:19534375	12:19850000:20822500
12:19850000:20822500	12:21575000:21837500
12:21575000:21837500	12:21842500:22183750
12:21842500:22183750	12:24252500:24975000
12:24252500:24975000	12:25117500:25325000
12:25117500:25325000	12:25352500:25568750
12:25352500:25568750	12:25576250:26202500
12:25576250:26202500	12:27572500:27870000
12:27572500:27870000	12:27875000:29197500
12:27875000:29197500	12:29210000:29540000
12:29210000:29540000	12:30777500:31007500
12:30777500:31007500	12:32510000:32907500
12:32510000:32907500	12:32912500:33072500
12:32912500:33072500	12:42118750:42491875
12:42118750:42491875	12:42497500:42870000
12:42497500:42870000	12:42957500:43817500
12:42957500:43817500	12:44122500:44327500
12:44122500:44327500	12:44332500:44663750
12:44332500:44663750	12:44686250:45472500
12:44686250:45472500	12:45497500:45807500
12:45497500:45807500	12:45922500:46127500
12:45922500:46127500	12:46132500:46395000
12:46132500:46395000	12:47131875:47412500
12:47131875:47412500	12:47417500:48067500
12:47417500:48067500	12:48095000:48222500
12:48095000:48222500	12:48237500:48587500
12:48237500:48587500	12:48592500:49217500
12:48592500:49217500	12:49452500:49647500
12:49452500:49647500	12:49652500:50022500
12:49652500:50022500	12:50027500:50120000
12:50027500:50120000	12:50247500:50475000
12:50247500:50475000	12:50822500:51147500
12:50822500:51147500	12:51801250:52267500
12:51801250:52267500	12:52497500:52957500
12:52497500:52957500	12:52962500:53392500
12:52962500:53392500	12:53554375:53917500
12:53554375:53917500	12:53922500:54082500
12:53922500:54082500	12:54982500:55562500
12:54982500:55562500	12:55567500:56077500
12:55567500:56077500	12:56472500:56875000
12:56472500:56875000	12:56895000:57077500
12:56895000:57077500	12:57900625:58152500
12:57900625:58152500	12:58157500:58340000
12:58157500:58340000	12:59752500:60217500
12:59752500:60217500	12:62680000:63197500
12:62680000:63197500	12:63202500:63487500
12:63202500:63487500	12:63492500:63991875
12:63492500:63991875	12:64215000:64785000
12:64215000:64785000	12:64832500:65157500
12:64832500:65157500	12:65162500:65492500
12:65162500:65492500	12:65545000:65682500
12:65545000:65682500	12:66517500:66862500
12:66517500:66862500	12:67800000:68585000
12:67800000:68585000	12:68710000:69182500
12:68710000:69182500	12:69242500:69515000
12:69242500:69515000	12:69530000:69675000
12:69530000:69675000	12:70182500:71057500
12:70182500:71057500	12:72162500:72352500
12:72162500:72352500	12:74990000:75800000
12:74990000:75800000	12:75877500:76437500
12:75877500:76437500	12:76447500:76718125
12:76447500:76718125	12:76750000:76995000
12:76750000:76995000	12:77000000:77482500
12:77000000:77482500	12:80777500:81200000
12:80777500:81200000	12:82020000:82747500
12:82020000:82747500	12:83042500:83287500
12:83042500:83287500	12:83395000:83993750
12:83395000:83993750	12:85247500:85462500
12:85247500:85462500	12:85800000:86350000
12:85800000:86350000	12:86402500:87357500
12:86402500:87357500	12:87605000:88412500
