12:52507500:52732500	12:52737500:53393750
12:52737500:53393750	12:54602500:54982500
12:54602500:54982500	12:54987500:55527500
12:54987500:55527500	12:55557500:56047500
12:55557500:56047500	12:58157500:58342500
12:58157500:58342500	12:58347500:59452500
12:58347500:59452500	12:59702500:60287500
12:59702500:60287500	12:63582500:63993125
12:63582500:63993125	12:64046875:64755000
12:64046875:64755000	12:64790000:65205000
12:64790000:65205000	12:66165000:66492500
12:66165000:66492500	12:66497500:66875000
12:66497500:66875000	12:67570000:68565000
12:67570000:68565000	12:68580000:69092500
12:68580000:69092500	12:69192500:69517500
12:69192500:69517500	12:69752500:70095000
12:69752500:70095000	12:70140000:71217500
12:70140000:71217500	12:71767500:71947500
12:71767500:71947500	12:71952500:72152500
12:71952500:72152500	12:72157500:72352500
12:72157500:72352500	12:76742500:77012500
12:76742500:77012500	12:77017500:77507500
12:77017500:77507500	12:77790000:78057500
12:77790000:78057500	12:78287500:79887500
12:78287500:79887500	12:80147500:80672500
12:80147500:80672500	12:81860000:82765000
12:81860000:82765000	12:82780000:83685000
12:82780000:83685000	12:85662500:86372500
12:85662500:86372500	12:87520000:88227500
12:87520000:88227500	12:88390000:89390000
12:88390000:89390000	12:89395000:89927500
12:89395000:89927500	12:89932500:90677500
12:89932500:90677500	12:91695000:92095000
12:91695000:92095000	12:93122500:93845000
12:93122500:93845000	12:93850000:94512500
12:93850000:94512500	12:94517500:94762500
12:94517500:94762500	12:94767500:94947500
12:94767500:94947500	12:94952500:95367500
12:94952500:95367500	12:95405000:95987500
12:95405000:95987500	12:96397500:96632500
12:96397500:96632500	12:96655000:96965000
12:96655000:96965000	12:96970000:97382500
12:96970000:97382500	12:98787500:98915000
12:98787500:98915000	12:98920000:99243750
12:98920000:99243750	12:100400000:101237500
12:100400000:101237500	12:101650000:102300000
12:101650000:102300000	12:102317500:102567500
12:102317500:102567500	12:102572500:103237500
12:102572500:103237500	12:103295000:104062500
12:103295000:104062500	12:104152500:104525000
12:104152500:104525000	12:104530000:105647500
12:104530000:105647500	12:105797500:106555000
12:105797500:106555000	12:106657500:107472500
12:106657500:107472500	12:107492500:108044375
12:107492500:108044375	12:108050000:108310000
12:108050000:108310000	12:108572500:108912500
12:108572500:108912500	12:110330000:110817500
12:110330000:110817500	12:110837500:111333750
12:110837500:111333750	12:112056250:112267500
12:112056250:112267500	12:112282500:112891875
12:112282500:112891875	12:114415000:114988125
12:114415000:114988125	12:116347500:116692500
12:116347500:116692500	12:116697500:117216250
12:116697500:117216250	12:117228750:117655000
12:117228750:117655000	12:117660000:118333750
12:117660000:118333750	12:118422500:118892500
12:118422500:118892500	12:119577500:120087500
12:119577500:120087500	12:121173750:121420000
12:121173750:121420000	12:123047500:123290000
12:123047500:123290000	12:123450000:123732500
12:123450000:123732500	12:123737500:124168750
12:123737500:124168750	12:124487500:124855000
12:124487500:124855000	12:129029375:129507500
12:129029375:129507500	12:133435000:133829112
12:133435000:133829112	13:20083125:20740000
13:20083125:20740000	13:20745000:21027500
13:20745000:21027500	13:21045000:21476875
13:21045000:21476875	13:21497500:21770000
13:21497500:21770000	13:21842500:22172500
13:21842500:22172500	13:22200000:22925000
13:22200000:22925000	13:23877500:24525000
13:23877500:24525000	13:24557500:24960000
13:24557500:24960000	13:25622500:25960000
13:25622500:25960000	13:25995000:26682500
13:25995000:26682500	13:26717500:27392500
13:26717500:27392500	13:27502500:27917500
13:27502500:27917500	13:28582500:28847500
