SARDH	UMLS:C0268563	1	279
ACAN	UMLS:C0029421	1	280
ACAN	UMLS:C2748544	1	281
DNAH5	UMLS:C1837618	1	282
AGL	UMLS:C0017922	1	283
DNM2	UMLS:C1834558	1	284
DNM2	UMLS:C1847902	1	285
DNMT3B	UMLS:C0398788	1	286
DPAGT1	UMLS:C2931004	1	287
ABAT	UMLS:C0342708	1	288
DPYD	UMLS:C1959620	1	289
DPYS	UMLS:C0342803	1	290
DRD4	UMLS:C1263846	1	291
JAG1	UMLS:C0039685	1	292
DSC2	UMLS:C1864850	1	293
DSG2	UMLS:C1857777	1	294
AGT	UMLS:C0020538	1	295
AGT	UMLS:C0266313	1	296
DSP	UMLS:C1843292	1	297
DSP	UMLS:C1843896	1	298
DSPP	UMLS:C0399378	1	299
DSPP	UMLS:C0399380	1	300
DSPP	UMLS:C1854146	1	301
SLC26A2	UMLS:C0265274	1	302
SLC26A2	UMLS:C1847593	1	303
SLC26A2	UMLS:C1850554	1	304
DTNA	UMLS:C1858725	1	305
AGTR1	UMLS:C0020538	1	306
AGTR1	UMLS:C0266313	1	307
AGXT	UMLS:C0268164	1	308
TYMP	UMLS:C0872218	1	309
ECM1	UMLS:C0023795	1	310
EDA	UMLS:C0162359	1	311
EDA	UMLS:C1970757	1	312
ABCA1	UMLS:C0039292	1	313
EDN3	UMLS:C2750457	1	314
EDNRB	UMLS:C1848519	1	315
EFNB1	UMLS:C0220767	1	316
EGF	UMLS:C2673648	1	317
EGR2	UMLS:C0393818	1	318
EGR2	UMLS:C1843247	1	319
EIF2B1	UMLS:C1858991	1	320
UBR1	UMLS:C0175692	1	321
ELANE	UMLS:C0221023	1	322
ELANE	UMLS:C1859966	1	323
PIKFYVE	UMLS:C1562113	1	324
ARL13B	UMLS:C2676771	1	325
FLCN	UMLS:C0346010	1	326
FLCN	UMLS:C1868193	1	327
ENG	UMLS:C0039445	1	328
ENO3	UMLS:C2752027	1	329
AK1	UMLS:C2675459	1	330
EPAS1	UMLS:C2673187	1	331
EPB42	UMLS:C2675192	1	332
ANO5	UMLS:C1833736	1	333
ANO5	UMLS:C1969785	1	334
AK2	UMLS:C0272167	1	335
CLN8	UMLS:C1864923	1	336
EPOR	UMLS:C1851490	1	337
ERCC1	UMLS:C1853100	1	338
ERCC2	UMLS:C0268138	1	339
ERCC2	UMLS:C1853102	1	340
ERCC2	UMLS:C1866504	1	341
ERCC3	UMLS:C0268136	1	342
ERCC3	UMLS:C1866504	1	343
ERCC4	UMLS:C0268140	1	344
ERCC4	UMLS:C1970416	1	345
ERCC5	UMLS:C0268141	1	346
ERCC6	UMLS:C0220722	1	347
AKT2	UMLS:C0011860	1	348
ABCA3	UMLS:C1970456	1	349
ALAD	UMLS:C0268328	1	350
ESRRB	UMLS:C1837857	1	351
ETFA	UMLS:C0268596	1	352
ETFB	UMLS:C0268596	1	353
ALAS2	UMLS:C0221018	1	354
EVC	UMLS:C0013903	1	355
EVC	UMLS:C0457013	1	356
EXT1	UMLS:C0008479	1	357
EXT1	UMLS:C0015306	1	358
EXT2	UMLS:C1851413	1	359
EYA1	UMLS:C2936782	1	360
F2	UMLS:C0020640	1	361
ABCD1	UMLS:C0162309	1	362
F5	UMLS:C0015499	1	363
F5	UMLS:C1861171	1	364
F7	UMLS:C0015503	1	365
F9	UMLS:C0008533	1	366
F9	UMLS:C2749016	1	367
F11	UMLS:C0015523	1	368
F12	UMLS:C0015526	1	369
F12	UMLS:C1857728	1	370
FANCD2	UMLS:C3160738	1	371
ACSL4	UMLS:C1845672	1	372
HYLS1	UMLS:C1856016	1	373
ABCB7	UMLS:C1845028	1	374
FBN1	UMLS:C0024796	1	375
FBN1	UMLS:C1321551	1	376
FBN1	UMLS:C1861456	1	377
FBN1	UMLS:C3149104	1	378
LRTOMT	UMLS:C1969621	1	379
FBN2	UMLS:C0220668	1	380
EFEMP1	UMLS:C1832174	1	381
FBP1	UMLS:C0016756	1	382
FKTN	UMLS:C0410174	1	383
FKTN	UMLS:C1969024	1	384
FKTN	UMLS:C1969040	1	385
FKTN	UMLS:C2751052	1	386
LHFPL5	UMLS:C1853223	1	387
FECH	UMLS:C0162568	1	388
ALDH3A2	UMLS:C0037231	1	389
FGA	UMLS:C0268389	1	390
FGB	UMLS:C0019250	1	391
FGD1	UMLS:C0175701	1	392
FGF3	UMLS:C1853144	1	393
FGF9	UMLS:C2751826	1	394
FGF10	UMLS:C0265269	1	395
FGF14	UMLS:C1836383	1	396
ALDOA	UMLS:C0272066	1	397
FGFR1	UMLS:C0432122	1	398
FGFR1	UMLS:C0432283	1	399
FGFR3	UMLS:C0001080	1	400
FGFR3	UMLS:C0265269	1	401
FGFR3	UMLS:C0334082	1	402
FGFR3	UMLS:C0410529	1	403
FGFR3	UMLS:C1300257	1	404
FGFR3	UMLS:C1864436	1	405
FGFR3	UMLS:C1864852	1	406
FGFR3	UMLS:C2677099	1	407
FGFR2	UMLS:C0010273	1	408
FGFR2	UMLS:C0265269	1	409
FGFR2	UMLS:C0795998	1	410
FGFR2	UMLS:C1852406	1	411
FGFR2	UMLS:C1865070	1	412
FGFR2	UMLS:C2936791	1	413
FH	UMLS:C1708350	1	414
FHL1	UMLS:C2678027	1	415
FHL1	UMLS:C2678055	1	416
FHL1	UMLS:C2678061	1	417
DOLK	UMLS:C1835849	1	418
ICK	UMLS:C2675227	1	419
ALDOB	UMLS:C0016751	1	420
FOXG1	UMLS:C3150705	1	421
RPIA	UMLS:C1291609	1	422
CCT5	UMLS:C1850395	1	423
TRIM32	UMLS:C0270968	1	424
TRIM32	UMLS:C0752166	1	425
FOXC1	UMLS:C1866560	1	426
FOXC1	UMLS:C2678503	1	427
RIMS1	UMLS:C1863634	1	428
FOXE3	UMLS:C1862839	1	429
SNRNP200	UMLS:C1835895	1	430
FOXC2	UMLS:C0265345	1	431
FOXE1	UMLS:C1855794	1	432
SETX	UMLS:C1853761	1	433
SETX	UMLS:C1865409	1	434
ARHGAP26	UMLS:C0349639	1	435
KIF1B	UMLS:C1861678	1	436
IQSEC2	UMLS:C2931498	1	437
PHF8	UMLS:C1846055	1	438
FLNA	UMLS:C0262436	1	439
FLNA	UMLS:C0265251	1	440
FLNA	UMLS:C0265293	1	441
FLNA	UMLS:C1844696	1	442
FLNA	UMLS:C1845235	1	443
FLNA	UMLS:C1848213	1	444
FLNB	UMLS:C0265283	1	445
FLNB	UMLS:C0432201	1	446
FLNB	UMLS:C1862414	1	447
GPD1L	UMLS:C2673193	1	448
MLC1	UMLS:C1858854	1	449
NBEAL2	UMLS:C0272302	1	450
FLT3	UMLS:C0023467	1	451
ARHGEF9	UMLS:C1845102	1	452
VPS13A	UMLS:C0393576	1	453
FLT4	UMLS:C1704423	1	454
FLT4	UMLS:C1865871	1	455
FMO3	UMLS:C0342739	1	456
FMR1	UMLS:C0016667	1	457
RPGRIP1L	UMLS:C1857662	1	458
RPGRIP1L	UMLS:C1969052	1	459
RPGRIP1L	UMLS:C1969053	1	460
SMCHD1	UMLS:C1834671	1	461
FN1	UMLS:C1866075	1	462
NCSTN	UMLS:C1840560	1	463
MED13L	UMLS:C1837341	1	464
PIP5K1C	UMLS:C1969655	1	465
ATP13A2	UMLS:C1847640	1	466
DICER1	UMLS:C1266144	1	467
ZFPM2	UMLS:C0039685	1	468
CRB1	UMLS:C1838647	1	469
CRB1	UMLS:C1868310	1	470
ETHE1	UMLS:C1865349	1	471
TNFRSF13B	UMLS:C1836032	1	472
TSPAN12	UMLS:C2750079	1	473
AMACR	UMLS:C1858328	1	474
NUP62	UMLS:C0795996	1	475
AIPL1	UMLS:C1858386	1	476
ABCA4	UMLS:C1855465	1	477
ABCA4	UMLS:C1858806	1	478
ABCA4	UMLS:C3495438	1	479
ALOX12B	UMLS:C1855792	1	480
SLC17A8	UMLS:C1854158	1	481
FSHB	UMLS:C1856716	1	482
ALPL	UMLS:C0268413	1	483
FSHR	UMLS:C0085083	1	484
FSHR	UMLS:C0685838	1	485
FTL	UMLS:C1853578	1	486
NR5A1	UMLS:C2751825	1	487
FUCA1	UMLS:C0016788	1	488
G6PC	UMLS:C0017920	1	489
MSRB3	UMLS:C2239351	1	490
BRWD3	UMLS:C1970841	1	491
SLC37A4	UMLS:C0268146	1	492
SLC37A4	UMLS:C0342749	1	493
GAA	UMLS:C0017921	1	494
PCSK9	UMLS:C1863551	1	495
MFSD8	UMLS:C1838571	1	496
GABRG2	UMLS:C1858674	1	497
ALX3	UMLS:C1876203	1	498
GAD1	UMLS:C2751938	1	499
RAB3GAP2	UMLS:C0796037	1	500
FBXO7	UMLS:C1850100	1	501
GALC	UMLS:C0023521	1	502
NIPBL	UMLS:C0270972	1	503
COG4	UMLS:C3150736	1	504
NDUFAF3	UMLS:C1838979	1	505
TMIE	UMLS:C1832992	1	506
GAMT	UMLS:C0574080	1	507
SAMHD1	UMLS:C2749659	1	508
PNKD	UMLS:C1869117	1	509
MMACHC	UMLS:C1848561	1	510
CHMP2B	UMLS:C1833296	1	511
SETBP1	UMLS:C0265227	1	512
GIGYF2	UMLS:C1843211	1	513
LDLRAP1	UMLS:C1863512	1	514
PRPF31	UMLS:C1838601	1	515
ABCA12	UMLS:C0598226	1	516
ABCA12	UMLS:C1832550	1	517
GARS	UMLS:C1832274	1	518
GARS	UMLS:C1833308	1	519
NPHP4	UMLS:C1846979	1	520
NPHP4	UMLS:C1847013	1	521
PHGDH	UMLS:C1866174	1	522
GATA1	UMLS:C1839161	1	523
GATA1	UMLS:C1845837	1	524
GATA3	UMLS:C1840333	1	525
GATA4	UMLS:C1842778	1	526
HIBCH	UMLS:C0342738	1	527
VPS33B	UMLS:C1859722	1	528
TINF2	UMLS:C1327916	1	529
SACS	UMLS:C1849140	1	530
GBE1	UMLS:C0017923	1	531
HSPB8	UMLS:C1834692	1	532
HSPB8	UMLS:C1837552	1	533
GCDH	UMLS:C0268595	1	534
GCH1	UMLS:C0268467	1	535
GCH1	UMLS:C1851920	1	536
GCK	UMLS:C0011860	1	537
GCK	UMLS:C1841962	1	538
GCK	UMLS:C1865290	1	539
AMELX	UMLS:C1845052	1	540
CNNM4	UMLS:C3495589	1	541
OPN1MW	UMLS:C0339537	1	542
OPN1MW	UMLS:C1415024	1	543
GDF1	UMLS:C0039685	1	544
GDF1	UMLS:C1857586	1	545
BSCL2	UMLS:C1720863	1	546
BSCL2	UMLS:C1833308	1	547
BSCL2	UMLS:C2931276	1	548
GFAP	UMLS:C0270726	1	549
GFER	UMLS:C2751320	1	550
GFI1	UMLS:C1842930	1	551
GFI1	UMLS:C2751288	1	552
GGCX	UMLS:C1835813	1	553
GGCX	UMLS:C1848534	1	554
AMH	UMLS:C1849930	1	555
GH1	UMLS:C0271567	1	556
GH1	UMLS:C1849779	1	557
GH1	UMLS:C2748571	1	558
AMHR2	UMLS:C1849930	1	559
GHR	UMLS:C0271568	1	560
GHR	UMLS:C1858656	1	561
GHRHR	UMLS:C2748571	1	562
GHSR	UMLS:C1858656	1	563
GIF	UMLS:C1394891	1	564
GJA1	UMLS:C0018522	1	565
GJA1	UMLS:C0152101	1	566
GJA1	UMLS:C0812437	1	567
GJA1	UMLS:C1861366	1	568
GJA1	UMLS:C3275750	1	569
