14:35602500:35940000	14:35950000:36327500
14:35950000:36327500	14:39165000:39547500
14:39165000:39547500	14:39557500:39973750
14:39557500:39973750	14:39985000:40310000
14:39985000:40310000	14:42902500:43260625
14:42902500:43260625	14:43450000:43890000
14:43450000:43890000	14:45322500:45905000
14:45322500:45905000	14:47640000:48302500
14:47640000:48302500	14:48450000:49940000
14:48450000:49940000	14:50227500:50527500
14:50227500:50527500	14:51165000:51402500
14:51165000:51402500	14:51407500:51745000
14:51407500:51745000	14:51770000:52225000
14:51770000:52225000	14:52237500:52585000
14:52237500:52585000	14:53741875:54727500
14:53741875:54727500	14:54822500:54992500
14:54822500:54992500	14:55037500:55320000
14:55037500:55320000	14:55425000:55910000
14:55425000:55910000	14:55915000:56957500
14:55915000:56957500	14:57135000:58022500
14:57135000:58022500	14:58620000:58925000
14:58620000:58925000	14:58930000:59330000
14:58930000:59330000	14:59560000:59905000
14:59560000:59905000	14:60045000:60417500
14:60045000:60417500	14:60530000:60880000
14:60530000:60880000	14:61050000:61576875
14:61050000:61576875	14:61820000:62395000
14:61820000:62395000	14:62671250:63690000
14:62671250:63690000	14:63820000:64778750
14:63820000:64778750	14:64786250:65250000
14:64786250:65250000	14:65260000:65652500
14:65260000:65652500	14:68016250:68212500
14:68016250:68212500	14:68687500:69337500
14:68687500:69337500	14:69350000:69702500
14:69350000:69702500	14:70035000:70288125
14:70035000:70288125	14:70294375:70682500
14:70294375:70682500	14:71027500:71227500
14:71027500:71227500	14:71555000:72312500
14:71555000:72312500	14:72372500:73402500
14:72372500:73402500	14:73407500:74047500
14:73407500:74047500	14:74115000:74557500
14:74115000:74557500	14:75022500:75277500
14:75022500:75277500	14:75785000:76230000
14:75785000:76230000	14:77257500:77602500
14:77257500:77602500	14:80530000:80957500
14:80530000:80957500	14:81302500:82080000
14:81302500:82080000	14:84167500:84417500
14:84167500:84417500	14:88262500:89157500
14:88262500:89157500	14:89465000:90585000
14:89465000:90585000	14:90657500:91280000
14:90657500:91280000	14:91290000:91780000
14:91290000:91780000	14:92100000:92447500
14:92100000:92447500	14:92475000:93260000
14:92475000:93260000	14:95515000:95890000
14:95515000:95890000	14:96072500:96437500
14:96072500:96437500	14:96722500:96950000
14:96722500:96950000	14:96992500:97610000
14:96992500:97610000	14:97620000:98737500
14:97620000:98737500	14:100410000:100651250
14:100410000:100651250	14:100842500:101185000
14:100842500:101185000	14:101327500:102132500
14:101327500:102132500	14:102137500:102410000
14:102137500:102410000	14:102982500:103415000
14:102982500:103415000	14:105156250:106053125
14:105156250:106053125	14:106064375:106832500
14:106064375:106832500	15:22691250:23338125
15:22691250:23338125	15:29960000:30512500
15:29960000:30512500	15:31412500:31972500
15:31412500:31972500	15:31997500:32566250
